Estado,Municipio,CP,vxm2
AGUASCALIENTES ,AGUASCALIENTES ,8320,12741
AGUASCALIENTES ,AGUASCALIENTES ,20000,4444
AGUASCALIENTES ,AGUASCALIENTES ,20010,7856
AGUASCALIENTES ,AGUASCALIENTES ,20016,7470
AGUASCALIENTES ,AGUASCALIENTES ,20020,7598
AGUASCALIENTES ,AGUASCALIENTES ,20029,10193
AGUASCALIENTES ,AGUASCALIENTES ,20030,5700
AGUASCALIENTES ,AGUASCALIENTES ,20050,10100
AGUASCALIENTES ,AGUASCALIENTES ,20064,7335
AGUASCALIENTES ,AGUASCALIENTES ,20070,4898
AGUASCALIENTES ,AGUASCALIENTES ,20089,5570
AGUASCALIENTES ,AGUASCALIENTES ,20100,10146
AGUASCALIENTES ,AGUASCALIENTES ,20110,9447
AGUASCALIENTES ,AGUASCALIENTES ,20115,9852
AGUASCALIENTES ,AGUASCALIENTES ,20116,8685
AGUASCALIENTES ,AGUASCALIENTES ,20118,10970
AGUASCALIENTES ,AGUASCALIENTES ,20119,10288
AGUASCALIENTES ,AGUASCALIENTES ,20123,7280
AGUASCALIENTES ,AGUASCALIENTES ,20126,6666
AGUASCALIENTES ,AGUASCALIENTES ,20127,9786
AGUASCALIENTES ,AGUASCALIENTES ,20128,10608
AGUASCALIENTES ,AGUASCALIENTES ,20129,9299
AGUASCALIENTES ,AGUASCALIENTES ,20130,7486
AGUASCALIENTES ,AGUASCALIENTES ,20138,11965
AGUASCALIENTES ,AGUASCALIENTES ,20140,6650
AGUASCALIENTES ,AGUASCALIENTES ,20146,6885
AGUASCALIENTES ,AGUASCALIENTES ,20150,7121
AGUASCALIENTES ,AGUASCALIENTES ,20157,8777
AGUASCALIENTES ,AGUASCALIENTES ,20158,5765
AGUASCALIENTES ,AGUASCALIENTES ,20160,4566
AGUASCALIENTES ,AGUASCALIENTES ,20164,5614
AGUASCALIENTES ,AGUASCALIENTES ,20169,5523
AGUASCALIENTES ,AGUASCALIENTES ,20170,5548
AGUASCALIENTES ,AGUASCALIENTES ,20172,7152
AGUASCALIENTES ,AGUASCALIENTES ,20174,6512
AGUASCALIENTES ,AGUASCALIENTES ,20175,7037
AGUASCALIENTES ,AGUASCALIENTES ,20179,6704
AGUASCALIENTES ,AGUASCALIENTES ,20180,7166
AGUASCALIENTES ,AGUASCALIENTES ,20196,7585
AGUASCALIENTES ,AGUASCALIENTES ,20197,5797
AGUASCALIENTES ,AGUASCALIENTES ,20198,8272
AGUASCALIENTES ,AGUASCALIENTES ,20199,5529
AGUASCALIENTES ,AGUASCALIENTES ,20200,8691
AGUASCALIENTES ,AGUASCALIENTES ,20206,4716
AGUASCALIENTES ,AGUASCALIENTES ,20207,8605
AGUASCALIENTES ,AGUASCALIENTES ,20208,6609
AGUASCALIENTES ,AGUASCALIENTES ,20210,4427
AGUASCALIENTES ,AGUASCALIENTES ,20218,10674
AGUASCALIENTES ,AGUASCALIENTES ,20220,5000
AGUASCALIENTES ,AGUASCALIENTES ,20230,8356
AGUASCALIENTES ,AGUASCALIENTES ,20234,6810
AGUASCALIENTES ,AGUASCALIENTES ,20235,6493
AGUASCALIENTES ,AGUASCALIENTES ,20240,5012
AGUASCALIENTES ,AGUASCALIENTES ,20247,3956
AGUASCALIENTES ,AGUASCALIENTES ,20250,7010
AGUASCALIENTES ,AGUASCALIENTES ,20255,6024
AGUASCALIENTES ,AGUASCALIENTES ,20256,6713
