fecha sp500 ftse100 nikkei225 cac40 dax100 usd.bp usd.yen usd.eur
01-Ene-97 740.74 4118.5 19361.35 2315.73 422.62 1.7125 0.0086 1.3002
02-Ene-97 737.01 4057.4 19361.35 2256.97 417.76 1.6943 0.0087 1.2969
03-Ene-97 748.03 4089.5 19361.35 2282.76 419.28 1.6865 0.0086 1.2772
06-Ene-97 747.65 4106.5 19446 2306.67 422.32 1.693 0.0086 1.2794
07-Ene-97 753.23 4078.8 18896.19 2301.69 422.64 1.6946 0.0087 1.2794
08-Ene-97 748.41 4087.5 18680.38 2331.62 424.86 1.688 0.0086 1.2714
09-Ene-97 754.85 4087 18073.87 2349.08 422.95 1.6961 0.0086 1.2718
10-Ene-97 759.5 4056.6 17303.65 2327.5 427.47 1.6815 0.0086 1.2657
13-Ene-97 759.51 4107.3 18118.79 2361.27 430.64 1.6753 0.0086 1.2635
14-Ene-97 768.86 4168.2 18093.13 2402.14 429.71 1.6713 0.0086 1.2586
15-Ene-97 767.2 4158.9 18093.13 2387.98 435.3 1.6845 0.0086 1.2649
16-Ene-97 769.75 4197.5 18144.34 2407.77 435.99 1.6798 0.0086 1.2589
17-Ene-97 776.17 4207.7 18090.04 2425.1 437.67 1.6675 0.0085 1.2424
20-Ene-97 776.7 4194 17480.34 2406.1 442.06 1.6622 0.0085 1.2365
21-Ene-97 782.72 4195.5 17358.16 2409.88 434.91 1.6635 0.0085 1.2329
22-Ene-97 786.23 4219.1 18013.88 2442.46 441.56 1.6353 0.0084 1.2229
23-Ene-97 777.56 4271.5 17909.46 2461.25 441.67 1.632 0.0084 1.2294
24-Ene-97 770.52 4218.8 17689.36 2430.34 437.43 1.6302 0.0084 1.2304
27-Ene-97 765.02 4212 17334.9 2435.17 437.03 1.6228 0.0084 1.2186
28-Ene-97 765.02 4237.4 17796.57 2482.76 436.22 1.6186 0.0083 1.2167
29-Ene-97 772.5 4207.5 18335.3 2465.01 437.34 1.62 0.0082 1.2177
30-Ene-97 784.17 4228.4 17864.04 2503.06 439.86 1.6134 0.0082 1.2232
31-Ene-97 786.16 4275.8 18330.01 2516.56 441.77 1.602 0.0082 1.2214
03-Feb-97 786.73 4257.8 18085.95 2508.55 446.41 1.62 0.0082 1.2185
04-Feb-97 789.26 4260.9 18314.33 2503.07 447.16 1.6214 0.0082 1.2138
05-Feb-97 778.28 4281.5 18185.97 2541.25 451.66 1.6403 0.0081 1.2159
06-Feb-97 780.15 4265.9 18038.43 2558.43 452.9 1.6341 0.0081 1.2106
07-Feb-97 789.56 4307.8 17867.04 2597.52 456.72 1.63 0.0081 1.2058
10-Feb-97 785.43 4307.7 18181.17 2595.37 462.69 1.6412 0.0082 1.2072
11-Feb-97 789.59 4304.3 18181.17 2582.09 463 1.6372 0.0081 1.1936
12-Feb-97 802.77 4304.3 18409.96 2599.33 467 1.6305 0.0081 1.1868
13-Feb-97 811.82 4327.1 18688.06 2628.41 468.19 1.6235 0.008 1.1878
14-Feb-97 808.48 4341 18722 2627.42 470.1 1.622 0.008 1.1853
17-Feb-97 808.48 4337.8 18750.65 2634.48 468.23 1.622 0.008 1.1747
18-Feb-97 816.29 4332.3 18470.75 2617.52 473.74 1.608 0.0081 1.1826
19-Feb-97 812.49 4357.4 18599.12 2594.76 468.59 1.6153 0.008 1.1752
20-Feb-97 802.8 4356.1 19051.71 2575.24 463.93 1.612 0.0082 1.1867
21-Feb-97 801.77 4336.8 19034.54 2562.84 462.35 1.618 0.0081 1.1833
24-Feb-97 810.28 4331.1 18896.99 2567.85 462.04 1.6353 0.0082 1.1945
25-Feb-97 812.1 4344.7 19070.07 2607.72 468.59 1.6355 0.0082 1.1936
26-Feb-97 805.68 4329.3 18990.92 2602.17 469.05 1.634 0.0082 1.1813
27-Feb-97 795.07 4339.2 19021.56 2629.4 474.42 1.6262 0.0083 1.1826
28-Feb-97 790.82 4308.3 18557 2607.55 472.76 1.6295 0.0083 1.1798
03-Mar-97 795.31 4307.1 18429.13 2600.26 475.32 1.6173 0.0082 1.1741
04-Mar-97 790.95 4357.7 18564.78 2651.69 483.18 1.6137 0.0082 1.1653
05-Mar-97 801.99 4360.1 18273.51 2666.19 488.15 1.6143 0.0083 1.166
06-Mar-97 798.56 4399.3 18041.33 2698.92 494.64 1.6143 0.0083 1.1647
07-Mar-97 804.97 4420.3 18198.74 2708.28 488.71 1.603 0.0082 1.1647
10-Mar-97 813.65 4437.4 18113.89 2709.21 497.21 1.6037 0.0082 1.1737
11-Mar-97 811.34 4444.3 18267.72 2686.15 501.85 1.607 0.0082 1.171
12-Mar-97 804.26 4422.5 18183.27 2641.7 496.83 1.5985 0.0082 1.1786
13-Mar-97 789.56 4397.7 17900.48 2632.1 489.35 1.5965 0.0081 1.1696
14-Mar-97 793.17 4424.3 17923.64 2645.62 490.59 1.6015 0.0081 1.1778
17-Mar-97 795.71 4373.3 18053.5 2588.38 489.15 1.5887 0.0081 1.1785
18-Mar-97 789.66 4356.8 18445.2 2573.95 481.25 1.59 0.0082 1.1895
19-Mar-97 785.77 4332.2 18493.71 2596.77 484.49 1.598 0.0081 1.1853
20-Mar-97 782.65 4258.1 18493.71 2553.72 479.15 1.5938 0.0081 1.1778
21-Mar-97 784.1 4254.8 18633.16 2587.13 484.74 1.6037 0.0081 1.1826
24-Mar-97 790.89 4214.8 18043.82 2579.28 487.86 1.6195 0.0081 1.1811
25-Mar-97 789.07 4270.7 18439.61 2624.25 490.89 1.6193 0.0081 1.1804
26-Mar-97 790.5 4301.5 18472.45 2648.73 499.33 1.6291 0.0081 1.1826
27-Mar-97 773.88 4312.9 18210.42 2656.68 500.68 1.631 0.008 1.1908
28-Mar-97 773.88 4312.9 18189.72 2656.68 500.68 1.631 0.008 1.1899
31-Mar-97 757.12 4312.9 18003.4 2656.68 500.68 1.6395 0.0081 1.1904
01-Abr-97 759.64 4248.1 17869.59 2581.82 482.88 1.6528 0.0082 1.1975
02-Abr-97 750.11 4236.6 18037.3 2530.28 484.64 1.644 0.0081 1.1926
03-Abr-97 750.32 4214.6 18129.31 2514.52 472.69 1.6447 0.0082 1.1965
04-Abr-97 757.9 4236.6 17860.59 2517.97 476.26 1.6345 0.008 1.1864
07-Abr-97 762.13 4271.7 17715.67 2572.31 486.05 1.6277 0.008 1.1687
08-Abr-97 766.12 4269.3 18021.7 2579 488.06 1.626 0.0079 1.1671
09-Abr-97 760.6 4292.3 17703.37 2617.55 492.52 1.62 0.0079 1.1598
10-Abr-97 758.34 4313.2 17485.75 2607.97 491.34 1.623 0.0079 1.1645
11-Abr-97 737.65 4270.7 17846.98 2574.56 489.79 1.628 0.0079 1.1636
14-Abr-97 743.73 4251.7 17692.47 2566.13 481.52 1.62 0.0079 1.1572
15-Abr-97 754.72 4286.8 17933.59 2620.63 487.6 1.621 0.0079 1.1604
16-Abr-97 763.53 4294.6 18031.2 2620.97 491.17 1.6248 0.008 1.1583
17-Abr-97 761.77 4298.9 18093.41 2615.18 495.04 1.6295 0.0079 1.1606
18-Abr-97 766.34 4310.5 18352.14 2547.56 489.85 1.633 0.0079 1.1691
21-Abr-97 760.37 4328.7 18551.66 2522.67 489.16 1.6359 0.008 1.1746
22-Abr-97 774.61 4346.1 18544.45 2514.67 488.22 1.6346 0.0079 1.1622
23-Abr-97 773.64 4387.7 18735.47 2533.64 495.17 1.623 0.0079 1.1655
24-Abr-97 771.18 4388.5 18698.07 2539.83 495.12 1.626 0.0079 1.1639
25-Abr-97 765.37 4369.7 18612.86 2536.26 492.56 1.6245 0.0079 1.1558
28-Abr-97 772.96 4389.7 18670.37 2550.25 490.02 1.6247 0.0079 1.1536
29-Abr-97 794.05 4433.2 18670.37 2602.86 492.52 1.6247 0.0079 1.159
30-Abr-97 801.34 4436 19151.12 2639.46 499.7 1.6245 0.0079 1.1553
01-May-97 798.53 4445 19275.33 2639.46 499.7 1.6227 0.0079 1.1596
02-May-97 812.97 4455.6 19514.75 2655.31 501.92 1.622 0.0079 1.1553
05-May-97 830.24 4455.6 19514.75 2672.84 511.23 1.6223 0.0079 1.1531
06-May-97 827.76 4519.3 20180.92 2651.93 516.42 1.6333 0.008 1.1583
07-May-97 815.62 4537.5 20048.9 2643.31 513.84 1.6135 0.008 1.1615
08-May-97 820.26 4580.4 20061.81 2643.31 513.84 1.62 0.0081 1.1702
09-May-97 824.78 4630.9 19802.78 2633.91 516.12 1.6227 0.0083 1.1832
12-May-97 837.66 4669.6 20143.51 2693.09 518.89 1.6235 0.0084 1.1688
13-May-97 833.13 4691 20129.11 2719.58 520.48 1.6335 0.0084 1.1809
14-May-97 836.04 4686.9 20209.72 2774.63 517.52 1.647 0.0085 1.1811
15-May-97 841.88 4681.2 20056.31 2776.01 516.78 1.6427 0.0086 1.1789
16-May-97 829.75 4693.9 20324.73 2784.28 521.96 1.6363 0.0086 1.1815
19-May-97 833.27 4645.2 20489.75 2784.28 521.96 1.64 0.0086 1.1715
20-May-97 841.66 4607.5 20332.83 2751.11 514.55 1.657 0.0089 1.1922
21-May-97 839.35 4642 19841.98 2786.35 521.27 1.645 0.0087 1.1822
22-May-97 835.66 4651.8 19877.39 2741.65 518.84 1.624 0.0086 1.1802
23-May-97 847.03 4661.8 20009 2762.9 521.75 1.636 0.0086 1.1811
26-May-97 847.03 4661.8 20043.5 2654.74 528.86 1.636 0.0086 1.1838
27-May-97 849.71 4681.6 19889.89 2680.34 530.34 1.6315 0.0086 1.1717
28-May-97 847.21 4677.5 20351.34 2583.17 525.34 1.6407 0.0086 1.1763
29-May-97 844.08 4672.3 20312.23 2579.24 525.34 1.6403 0.0086 1.1755
30-May-97 848.28 4621.3 20068.81 2583.94 512.8 1.6405 0.0086 1.1685
02-Jun-97 846.36 4562.8 20451.85 2601.45 520.22 1.6357 0.0086 1.1566
03-Jun-97 845.48 4557.8 20563.16 2624.49 522.23 1.6347 0.0086 1.1582
04-Jun-97 840.11 4557.1 20611.56 2635.37 527.79 1.6332 0.0086 1.1576
05-Jun-97 843.43 4576.2 20488.15 2690.85 530.57 1.6345 0.0086 1.1574
06-Jun-97 858.01 4645 20485.75 2719.25 533.97 1.632 0.0087 1.1586
09-Jun-97 862.91 4686.7 20223.82 2686.2 530.57 1.638 0.0089 1.1703
10-Jun-97 865.27 4739.6 20532.55 2664.18 531.22 1.6385 0.0089 1.1621
11-Jun-97 869.57 4724.8 20289.93 2696.19 533.49 1.638 0.009 1.1632
12-Jun-97 883.48 4757.4 20564.46 2760.27 537.35 1.632 0.0088 1.1566
13-Jun-97 893.27 4783.1 20528.35 2808.52 541.41 1.637 0.0087 1.151
16-Jun-97 893.9 4745.1 20681.07 2795.87 543.55 1.6372 0.0088 1.1562
17-Jun-97 894.42 4682.2 20593.66 2762.6 540.52 1.6393 0.0088 1.1567
18-Jun-97 889.06 4657 20497.85 2751.74 539.51 1.6383 0.0088 1.1552
19-Jun-97 897.99 4653.7 20507.85 2739.69 542.25 1.6485 0.0088 1.1609
20-Jun-97 898.7 4593.9 20385.54 2757.1 546.59 1.6565 0.0087 1.159
23-Jun-97 878.62 4575.8 20436.14 2762.2 542.87 1.6725 0.0087 1.1661
24-Jun-97 896.34 4596.3 20341.93 2784.76 543.15 1.6685 0.0087 1.1615
25-Jun-97 888.99 4640 20679.27 2867.44 548.4 1.6633 0.0088 1.162
